gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,3/15/26,0,1,0.98966,0.75904,0.5519,0.40906,0.25824,0.15779,,1,DUK,Duke,2251.100098,East,1,
mens,3/15/26,0,1,0.01034,0.00024,0,0,0,0,,1,SIE,Siena,1493.300049,East,16,
mens,3/15/26,0,1,0.68235,0.18774,0.09309,0.04792,0.01918,0.00706,,1,OSU,Ohio St.,1933.099976,East,8,
mens,3/15/26,0,1,0.31765,0.05298,0.01765,0.00633,0.0017,0.00035,,1,TCU,TCU,1864.599976,East,9,
mens,3/15/26,0,1,0.81094,0.46842,0.18205,0.10462,0.0448,0.01723,,1,STJ,St. John's,2051.600098,East,5,
mens,3/15/26,0,1,0.18906,0.05401,0.00797,0.00235,0.00049,7.00E-05,,1,NIA,Northern Iowa,1755.199951,East,12,
mens,3/15/26,0,1,0.8805,0.45669,0.14608,0.07384,0.02744,0.01017,,1,KU,Kansas,1955,East,4,
mens,3/15/26,0,1,0.1195,0.02088,0.00126,0.00015,3.00E-05,1.00E-05,,1,CAB,California Baptist,1630.300049,East,13,
mens,3/15/26,0,1,0.6916,0.35895,0.18227,0.06597,0.02754,0.01085,,1,LOU,Louisville,1996.5,East,6,
mens,3/15/26,0,1,0.3084,0.10629,0.0336,0.0068,0.00139,0.00026,,1,USF,South Florida,1841.5,East,11,
mens,3/15/26,0,1,0.91162,0.52147,0.25391,0.08479,0.03186,0.0109,,1,MSU,Michigan St.,2035.900024,East,3,
mens,3/15/26,0,1,0.08838,0.01329,0.00169,0.00016,1.00E-05,0,,1,NDS,North Dakota St.,1608.699951,East,14,
mens,3/15/26,0,1,0.70638,0.29782,0.14029,0.04186,0.01323,0.00383,,1,CLA,UCLA,1939.699951,East,7,
mens,3/15/26,0,1,0.29362,0.07544,0.02158,0.00336,0.00063,7.00E-05,,1,UCF,UCF,1784.599976,East,10,
mens,3/15/26,0,1,0.89507,0.60342,0.36255,0.15241,0.06644,0.02774,,1,CON,UConn,2042.400024,East,2,
mens,3/15/26,0,1,0.10493,0.02332,0.00411,0.00038,2.00E-05,0,,1,FUR,Furman,1489,East,15,
mens,3/15/26,0,1,0.99132,0.85001,0.60447,0.3372,0.18961,0.0995,,1,FLA,Florida,2168.699951,South,1,
mens,3/15/26,0,1,0.00375,0.00023,0,0,0,0,,1,PVA,Prairie View A&M,1275,South,16,
mens,3/15/26,0,1,0.34795,0.03843,0.01213,0.00233,0.00072,0.00013,,1,CLE,Clemson,1870.199951,South,8,
mens,3/15/26,0,1,0.65205,0.11105,0.04412,0.0121,0.00374,0.00117,,1,IOW,Iowa,1912.699951,South,9,
mens,3/15/26,0,1,0.8396,0.5143,0.19805,0.07969,0.03477,0.01383,,1,VAN,Vanderbilt,2008.300049,South,5,
mens,3/15/26,0,1,0.1604,0.04774,0.00732,0.00129,0.00018,6.00E-05,,1,MCN,McNeese,1739.199951,South,12,
mens,3/15/26,0,1,0.91424,0.42921,0.13331,0.04529,0.01655,0.00532,,1,NEB,Nebraska,1985.900024,South,4,
mens,3/15/26,0,1,0.08576,0.00875,0.00059,3.00E-05,1.00E-05,0,,1,TRO,Troy,1541.900024,South,13,
mens,3/15/26,0,1,0.45606,0.07196,0.01328,0.00252,0.00058,5.00E-05,,1,UNC,North Carolina,1905.800049,South,6,
mens,3/15/26,0,1,0.54394,0.0965,0.02028,0.00414,0.00094,0.00019,,1,VCU,VCU,1831.699951,South,11,
mens,3/15/26,0,1,0.98125,0.8292,0.42456,0.22297,0.11837,0.05908,,1,ILL,Illinois,2081.899902,South,3,
mens,3/15/26,0,1,0.01875,0.00234,8.00E-05,1.00E-05,0,0,,1,PEN,Penn,1553.900024,South,14,
mens,3/15/26,0,1,0.58767,0.16035,0.05389,0.01665,0.00532,0.00142,,1,STM,Saint Mary's (CA),1939,South,7,
