gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,3/17/25,0,1,0.987432749,0.714570364,0.564668119,0.399093028,0.228732234,0.118922297,1,1,2250,Auburn,96.47,South,1,0
mens,3/17/25,1,0.540429381,0.007367109,0.000405174,0.0000393,0.00000315,0.000000195,1.19E-08,0,1,2305,Alabama St.,91.72,South,16a,64
mens,3/17/25,1,0.459570619,0.005200142,0.00024478,0.0000178,0.00000108,5.38E-08,2.66E-09,0,1,96,Saint Francis (PA),91.23,South,16b,60
mens,3/17/25,0,1,0.634970216,0.201594372,0.121611326,0.061730135,0.024855525,0.00904758,1,1,12,Louisville,91.39,South,8,96
mens,3/17/25,0,1,0.365029784,0.08318531,0.043028541,0.018398038,0.006744773,0.002238879,1,1,2,Creighton,89.6,South,9,92
mens,3/17/25,0,1,0.590674939,0.319951906,0.096494235,0.045080916,0.016905093,0.005737291,1,1,222,Michigan,90.22,South,5,124
mens,3/17/25,0,1,0.409325061,0.191350556,0.039502084,0.013800759,0.004406018,0.001278299,1,1,2509,UC San Diego,89.44,South,12,52
mens,3/17/25,0,1,0.753668705,0.41077382,0.121595895,0.056030659,0.02450057,0.009680649,1,1,2294,Texas A&M,88.55,South,4,72
mens,3/17/25,0,1,0.246331295,0.077923718,0.013042637,0.003849858,0.000895058,0.000191472,1,1,2633,Yale,88.55,South,13,116
mens,3/17/25,0,1,0.544829369,0.243750363,0.106702142,0.038417829,0.01434147,0.004845734,1,1,26,Ole Miss,89.84,South,6,44
mens,3/17/25,1,0.337143752,0.127122791,0.044192573,0.014068407,0.00368583,0.001157972,0.000330772,0,1,248,San Diego St.,88.15,South,11a,104
mens,3/17/25,1,0.662856248,0.32804784,0.146697527,0.064252796,0.023147092,0.008175892,0.002616981,0,1,150,North Carolina,89.34,South,11b,28
mens,3/17/25,0,1,0.883310718,0.54038964,0.259674537,0.102880568,0.043872093,0.016906187,1,1,2641,Iowa St.,88.7,South,3,20
mens,3/17/25,0,1,0.116689282,0.024969897,0.004631646,0.000719284,0.000114231,0.000017,1,1,239,Lipscomb,87.92,South,14,32
mens,3/17/25,0,1,0.631795804,0.227144428,0.106948015,0.036734506,0.01321192,0.004304361,1,1,356,Marquette,87.07,South,7,108
mens,3/17/25,0,1,0.368204196,0.099103237,0.038943784,0.011020912,0.003751862,0.001158529,1,1,99,New Mexico,85.72,South,10,80
mens,3/17/25,0,1,0.93439038,0.661172347,0.402719229,0.18516247,0.086349717,0.036384255,1,1,8,Michigan St.,86.78,South,2,12
mens,3/17/25,0,1,0.06560962,0.012579988,0.002059445,0.000243882,0.0000313,0.0000038,1,1,275,Bryant,84.64,South,15,84
mens,3/17/25,0,1,0.972771753,0.782412426,0.586068599,0.397396085,0.250364214,0.138041766,1,1,251,Florida,86.31,West,1,48
mens,3/17/25,0,1,0.027228247,0.004108458,0.00050905,0.0000542,0.00000562,0.000000522,1,1,41,Norfolk St.,86.45,West,16,8
mens,3/17/25,0,1,0.686126702,0.166971012,0.085258062,0.03739713,0.014637347,0.004902277,1,1,333,UConn,85.15,West,8,16
