prob,school,team_rating,region,seed,round
0.988315503,Gonzaga,96.47,West,1,1
0.974672994,Kansas,91.72,Midwest,1,1
0.954785246,Kentucky,91.23,East,2,1
0.968361095,Arizona,91.39,South,1,1
0.94613649,Auburn,89.6,Midwest,2,1
0.948285722,Villanova,90.22,South,2,1
0.945481071,Purdue,89.44,East,3,1
0.810616792,Iowa,88.55,Midwest,5,1
0.938408006,Tennessee,88.55,South,3,1
0.926055075,UCLA,89.84,East,4,1
0.750431517,Houston,88.15,South,5,1
0.970915813,Duke,89.34,West,2,1
0.926848935,Texas Tech,88.7,West,3,1
0.96439315,Baylor,87.92,East,1,1
0.815208911,Illinois,87.07,South,4,1
0.670088406,Louisiana State,85.72,Midwest,6,1
0.718409659,Arkansas,86.78,West,4,1
0.848665183,Wisconsin,84.64,Midwest,3,1
0.541793395,Texas,86.31,East,6,1
0.86439005,Connecticut,86.45,West,5,1
0.620860144,Alabama,85.15,West,6,1
0.689843871,Michigan,84.73,South,11,1
0.458206605,Virginia Tech,84.68,East,11,1
0.57871646,North Carolina,83.99,East,8,1
0.552055124,Ohio State,84.17,South,7,1
0.541464303,Memphis,85.47,West,9,1
0.621938596,Saint Mary's (CA),84.32,East,5,1
0.447944876,Loyola (IL),83.7,South,10,1
0.664987699,Providence,82.72,Midwest,4,1
0.303247523,Indiana,83.01,East,12b,1
0.5117736,Michigan State,83.49,West,7,1
0.554353603,San Diego State,83.49,Midwest,8,1
0.534690827,Southern California,83.43,Midwest,7,1
0.507236821,Texas Christian,81.92,South,9,1
0.492763179,Seton Hall,82.84,South,8,1
0.42128354,Marquette,81.92,East,9,1
0.458535697,Boise State,82.49,West,8,1
0.445646397,Creighton,81.49,Midwest,9,1
0.528026182,Murray State,81.37,East,7,1
0.4882264,Davidson,81.92,West,10,1
0.249568483,Alabama-Birmingham,81.15,South,12,1
0.471973818,San Francisco,83,East,10,1
0.465309173,Miami (FL),81.16,Midwest,10,1
0.329911594,Iowa State,80.59,Midwest,11,1
0.310156129,Colorado State,81.65,South,6,1
0.219849958,Notre Dame,81.64,West,11b,1
0.159289898,Rutgers,81.12,West,11a,1
0.189383208,Richmond,79.71,Midwest,12,1
0.335012301,South Dakota State,79.68,Midwest,13,1
0.281590341,Vermont,80.32,West,13,1
0.184791089,Chattanooga,78.68,South,13,1
0.074813881,Wyoming,78.49,East,12a,1
0.13560995,New Mexico State,77.67,West,12,1
0.151334817,Colgate,76.39,Midwest,14,1
0.073944925,Akron,76.67,East,13,1
0.045214754,Saint Peter's,74.19,East,15,1
0.054518929,Yale,74.44,East,14,1
0.073151065,Montana State,74.31,West,14,1
0.05386351,Jacksonville State,73.16,Midwest,15,1
0.023401577,Wright State,73.5,South,16a,1
0.061591994,Longwood,73.41,South,14,1
0.051714278,Delaware,73.58,South,15,1
0.011684497,Georgia State,73.48,West,16,1
0.03560685,Norfolk State,71.42,East,16,1
0.018687936,Texas Southern,70.37,Midwest,16a,1
0.029084187,Cal State Fullerton,71.79,West,15,1
0.008237328,Bryant,71.56,South,16b,1
0.00663907,Texas A&M-Corpus Christi,67.32,Midwest,16b,1
0.888231932,Gonzaga,96.47,West,1,2
0.800722557,Kansas,91.72,Midwest,1,2
0.801731397,Kentucky,91.23,East,2,2
0.818197465,Arizona,91.39,South,1,2
